story_id,images,text
127,"['https://static2.tinkoff.ru/portfolio/stories/images/57_1.png', 'https://static2.tinkoff.ru/portfolio/stories/images/57_4.png', 'https://static2.tinkoff.ru/portfolio/stories/icons/pin.png', 'https://static2.tinkoff.ru/portfolio/stories/images/57_3.png', 'https://static2.tinkoff.ru/portfolio/stories/images/57_2.png']","Как изменить ПИН-код Изменить пин-код Введите дату своего рождения, чтобы разрешить операцию. Зайдите с главной в меню «Еще» и выберите во вкладке настроек «ПИН-коды карт». Нажмите «Изменить ПИН-код». Введите новую комбинацию и нажмите кнопку «Задать ПИН-код»."
254,"['https://static2.tinkoff.ru/portfolio/stories/images/331_2a.png', 'https://static2.tinkoff.ru/portfolio/stories/icons/strelka_icon_18-07_zahod.png', 'https://static2.tinkoff.ru/portfolio/stories/images/331_4a.png', 'https://static2.tinkoff.ru/portfolio/stories/images/331_3a.png']","В приложении Тинькофф Как пополнить карту «Стрелка» Введите номер карты и сумму, которую хотите внести на счет. Нажмите кнопку «Оплатить».  Пополнить карту Откройте вкладку «Оплатить» и выберите в платежах «Транспорт». Выберите в меню карту «Стрелка». Пополнить «Стрелку»"
865,"['https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_zahod.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_7.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_31.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/investicii_11-05_4.jpg']","Тинькофф Инвестиции 2.0 У нас хорошие новости для тех, кто никак не мог решиться инвестировать Комиссия снижена в 10 раз  Круглосуточный вывод на карту Теперь с помощью карты можно покупать бумаги в любое время, пока открыта биржа. Не нужно заранее держать деньги на брокерском счете. Больше не нужно ждать два дня для вывода. Теперь деньги с брокерского счета доходят мгновенно. Даже в ночь с субботы на воскресенье. Налоги не станут неожиданностью. Покажем, сколько налога спишут, прямо на экране, когда будете выводить деньги.  До 30 июня мы снизили комиссию за сделку до 0,03% и отменили минимальную плату 99 рублей. \nСоставьте инвестиционный портфель и экономьте на комиссии. Налоги онлайн Войдите в личный кабинет и активируйте обновленный счет одной кнопкой. Подготовим счет за 2 рабочих дня и пришлем СМС. Активировать счет В приложении появились новые акции, облигации и несколько десятков ОФЗ с Московской и Санкт-Петербургской биржи. Возможностей для инвестиций стало больше. Тинькофф Инвестиции 2.0 Более 100 новых бумаг Тинькофф Банк получил лицензию брокера — и теперь открывает счета на бирже сам. Это значит, что с 15 мая Тинькофф Инвестиции стали еще удобнее.  Покупка во время работы бирж Как воспользоваться Что случилось"
1491,"['https://static2.tinkoff.ru/portfolio/stories/images/1487/7.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/4.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/8.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/fl1_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1487/6.jpg']","Персонализация — глобальный фэшн-тренд, от которого не убежишь. Если вы давно хотели преобразить старую футболку, джинсы, куртку или что-то еще, на Faces & Laces вам помогут. Кастомайзинг-зоны будут в пространствах Nike, Levi’s, White Crow и G-Shock. 18 и 19 августа пройдет 12-я выставка Faces & Laces, объединяющая уличное искусство, моду, музыку и спорт. Вход свободный На выставке будет работать VR-пространство, где можно оказаться на воображаемом музыкальном фестивале. Каждый сам сможет выбрать артистов на сцене и почувствовать себя безумным электронщиком на Boiler Room. Кастомайзинг Если вы вдруг заскучаете, попробуйте покорить скейт. Будет непросто, но на мгновение вы почувствуете себя звездой подростковых инди-фильмов. Самые отчаянные могут освоить баскетбольную площадку. Когда пройдет хайп на кроссовки? Почему все помешались на «уродливой обуви»? Какие модели покупать, не переживая за тренды? Ответы на эти вопросы вы сможете получить на лекции магазина Sneakerhead (а заодно почистите свои белые «эйр-максы»). Фестиваль внутри фестиваля Организаторы Faces & Laces поддерживают локальные марки и открывают новые имена. Здесь начинали «Волчок» и «Спутник». Обратите внимание на марку Future is Nown, панковую одежду от Fusion и ироничных ребят из «Парадиз». В лайн-апе выставки молодые звезды: Boulevard Depo, «Пасош», «Метель», «Лауд», Mnogoznaal, Sonic Death. Хедлайнерами станут калифорнийцы The Garden и задиристая Princess Nokia из Гарлема. Главный вход в парк Горького оккупируют молодые художники и граффитисты. Вместе они будут делать масштабную инсталляцию на тему «Субкультурной кооперации» — главного слогана Faces & Laces в этом году.  Лекции о сникер-культуре Спорт Русские дизайнеры Выставка уличной культуры Арт Что делать на Faces & Laces Музыка"
598,"['https://static2.tinkoff.ru/portfolio/stories/images/badminton_0704.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/neobichnie_vidi_sporta_02-04_zahod.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/trampolining1_0704.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/skalolazka_0704.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/squash_0704.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/capoeira_0704.jpg']","Где поиграть Где попробовать Где попрыгать Необычные виды спорта Капоэйра Скалолазание Если бег, бассейн и тренажерный зал наскучили, пора попробовать новые виды спорта. Выбирайте из нашей пятерки необычных, но интересных видов физической активности. Знакомый с детства «дачный» вид спорта может серьезно нагрузить мышцы: площадка немаленькая, а траекторию движения волана не всегда угадаешь — придется побегать. Если не боитесь высоты, то это отличный способ медитации, да еще и возможность укрепить мышцы и в прямом смысле забраться на вершину. Где покорить скалу Прыжки на батуте Бразильское национальное боевое искусство больше похоже на танец: музыка — неотъемлемая часть любого поединка. Подойдет и тем, кто считает, что не готов к настоящим единоборствам, и тем, кто не умеет танцевать. Бадминтон Динамичная игра на корте в замкнутом пространстве, которая с каждым годом становится все популярнее. Достойная — а главное, интересная — альтернатива высокоинтенсивным тренировкам в спортзале. Во-первых, это весело. Но еще и очень полезно: можно укрепить мышцы ног и торса, а также развить координацию и наконец-то научиться делать сальто назад. Сквош"
202,"['https://static2.tinkoff.ru/portfolio/stories/images/339_5.png', 'https://static2.tinkoff.ru/portfolio/stories/icons/skrit__icon.png', 'https://static2.tinkoff.ru/portfolio/stories/images/339_4.png', 'https://static2.tinkoff.ru/portfolio/stories/images/339_6.png', 'https://static2.tinkoff.ru/portfolio/stories/images/skrit__pic_18-05_konec.png']","Если карта или счет скрыты, их не видно в меню с лимитами и ПИН-кодами. Выбрать для платежей их тоже не получится.   Скрытые карты Можно скрыть любую карту или счет, чтобы видеть только нужное сейчас Так будет выглядеть скрытая карта или счет. Скрытые счета и карты Выберите на главной карту или счет, которые нужно скрыть и проведите по ним справа налево. В появившемся меню нажмите «Скрыть». Чтобы показать скрытую карту или счет снова, проведите по ним справа налево и выберите «Показать»."
1405,"['https://static2.tinkoff.ru/portfolio/stories/images/chd_creditka-hranit_11-07_3.png', 'https://static2.tinkoff.ru/portfolio/stories/images/chd_creditka-hranit_11-07_2.png', 'https://static2.tinkoff.ru/portfolio/stories/images/chd_creditka-hranit_pechenka.png', 'https://static2.tinkoff.ru/portfolio/stories/images/chd_creditka-hranit_11-07_1.png']",читатель Тинькофф-журнала Подробный разбор Как хранить карту Тинькофф-журнал отвечает на вопросы читателей Мишель Коржова финансовый консультант Тинькофф Банка Игорь
195,"['https://static2.tinkoff.ru/portfolio/stories/images/341_5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/341_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/341_3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/341_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/341_cover.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/341_4.jpg']","Гриль-бар с говорящим названием, где непременно нужно попробовать мясо и рыбу на углях, стейки и бургеры. Приятная светлая атмосфера с обилием зелени так и располагает к долгим посиделкам и вкусному общению. Забронировать Ресторан, расположившийся в белых интерьерах старинного особняка, где предлагается целое ассорти различных кухонь, чтобы удовлетворить гастрономические вкусы каждого гостя. Здесь особенно приятно проводить романтические встречи и вести светские беседы. Мясо Узбекский диванный ресторан с халяльным меню и обилием пестрых ковров, занавесок и абажуров. Здесь всегда по-домашнему уютно, сытно и вкусно. Идеальное место для долгих разговоров обо всем. Чернышевского, 27а Лучшие места для встреч с друзьями Просп. Ибрагимова, 56а Московская, 5 Единственный в Казани бар на 200 гостей с собственной пивоварней и живой музыкой. Как минимум, сюда стоит зайти, чтобы посмотреть на концерт местных кавер-групп, как максимум – чтобы весело провести вечер. Куда пойти, чтобы было весело и вкусно? Двухуровневый панорамный ресторан с оригинальной lounge атмосферой и европейской кухней. Сюда можно зайти на праздничную вечеринку, достойный бизнес-ланч или просто на чашечку кофе, чтобы поднять настроение. Московская, 3 12:00–0:00 Приют холостяка 9:00–0:00 11:00–0:00 Профсоюзная, 23/12 Joker 12:00–1:00 700–1500 ₽ 1500–2500 ₽ Van Gogh Рубаи Рестораны для дружеских встреч 11:00–23:00 РАЗВЛЕЧЕНИЯ"
1524,"['https://static2.tinkoff.ru/portfolio/stories/images/1523/bag5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag7.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag1_01.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/1523/bag4.jpg']","Рюкзаки для школы Ранец Mag Taller В этот ранец из прочного синтетического материала с легкостью поместятся все учебники и тетради, а внутренние отделения помогут организовано их уложить. Рюкзак Wenger  Рюкзак Erich Krause  Рюкзак Grizzly Купить Небольшой ранец с жесткой спинкой и крупными светоотражающими элементами. Прочный рюкзак от известного бренда создан для тех, кто с детства ценит функциональность и практичность. Удобный рюкзак с яркими элементами позволит всегда быть на виду, а его объем в 30 литров даст упаковать в него все необходимое. Лучшие рюкзаки для школьников всех возрастов Рюкзак Target Стильная модель с градиентным дизайном станет хорошим дополнением к повседневному образу. Крошечный розовый рюкзак подойдет для выходных и дней, когда уроков совсем мало. Ранец Brauberg "
205,"['https://static2.tinkoff.ru/portfolio/stories/images/overdraft_14-05_zahod.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/overdraft_14-05_konec.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/332_2.png', 'https://static2.tinkoff.ru/portfolio/stories/images/overdraft_14-05_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/332_4.png', 'https://static2.tinkoff.ru/portfolio/stories/images/332_3.png']","Овердрафт — это такой краткосрочный кредит на дебетовой карте. Деньги в овердрафте можно одолжить у банка сколько угодно раз, если вовремя возвращать и не превышать установленный лимит. В деталях счета выберите раздел «Подключить овердрафт». Что такое овердрафт и зачем он нужен Если услугу подключат, остаток на счете изменится: к нему прибавится размер овердрафта. Вы можете пользоваться деньгами из овердрафта сразу после того, как закончатся собственные: снимайте их в банкомате или оплачивайте покупки по карте. Чтобы подключить овердрафт, выберите нужный счет и зайдите в настройки.  Что такое овердрафт Нажмите на кнопку «Подать заявку». Решение по заявке на овердрафт банк принимает в течение нескольких минут."
